MESSAGES=66626, DATE=2018-04-18 12:29, STEPSIZE=random, ORDER=50, ITERATIONS=2
Number of edges,Largest component size,LCS Standard Deviation, Average Clustering Coefficient, ACC standard deviation
34250,9895.0,3156.0,0.016317235291246155,0.00647308107779465
34300,9910.5,3164.5,0.016289737191428,0.006445820435471603
34350,9930.5,3157.5,0.016290534370161577,0.006442343379293229
34400,9946.0,3153.0,0.016323916102540435,0.006505034151068333
34450,9955.5,3153.5,0.016319192809648227,0.006500410490691543
34500,9962.5,3154.5,0.01632283793639132,0.006480343790423107
34550,9988.0,3151.0,0.01632236591192648,0.006490659120736042
34600,10001.5,3151.5,0.016343578967667017,0.006518995901329834
34650,10010.0,3153.0,0.01634247170249752,0.006589125884692849
34700,10024.0,3151.0,0.016335781497696523,0.00659015767427824
34750,10051.0,3166.0,0.016369639354472828,0.006582697926905685
34800,10063.0,3168.0,0.01641689450535304,0.006563509967282954
34850,10073.5,3166.5,0.01644527126906917,0.006531066773615627
34900,10085.5,3171.5,0.016465029582980337,0.006551639227510009
34950,10096.5,3168.5,0.01649330792661007,0.006526184332246652
35000,10102.5,3168.5,0.01649579968837692,0.006528913551508608
35050,10115.5,3172.5,0.0164828143098376,0.006515928172969283
35100,10130.0,3172.0,0.01648437474480545,0.006517488607937144
35150,10139.0,3172.0,0.016487735136052662,0.006557892368421257
35200,10144.5,3170.5,0.016496914036927643,0.006550211787143541
35250,10151.0,3168.0,0.016516559245607174,0.006526266584221042
35300,10161.5,3169.5,0.016559335517225986,0.006503504587189934
35350,10174.0,3166.0,0.016601077152616106,0.0065452462225800605
35400,10201.0,3154.0,0.016609931162153993,0.006554542885150786
35450,10209.5,3152.5,0.016602424429744037,0.006559858857476675
35500,10217.0,3151.0,0.016614342020521262,0.006553152996137542
35550,10245.5,3128.5,0.016767436869290588,0.006570693537699301
35600,10261.5,3130.5,0.016740245696817382,0.006543784538742999
35650,10267.0,3132.0,0.016801187466811984,0.006604726308737608
35700,10278.0,3126.0,0.016826524290043915,0.006638000996806019
35750,10286.5,3131.5,0.01686146880545518,0.006630685052364074
35800,10294.5,3133.5,0.016867513487991388,0.006595151517463315
35850,10304.0,3134.0,0.016909716978220517,0.006637454640207871
35900,10309.0,3133.0,0.016963449219393044,0.006691526106373417
35950,10326.0,3134.0,0.01699852835789782,0.006726605244878181
36000,10338.0,3129.0,0.017000049293609036,0.0067281261805894055
36050,10355.0,3128.0,0.01701508348435702,0.006755983076073238
36100,10369.0,3130.0,0.017004889773317013,0.00674721411000388
36150,10379.5,3133.5,0.017034731483104942,0.006777869959775043
36200,10403.5,3118.5,0.017074737614964385,0.0067580368028671645
36250,10417.0,3123.0,0.017120495536125845,0.00680199084524226
36300,10431.0,3123.0,0.01710550440085774,0.006786999709974154
36350,10446.0,3125.0,0.0171130244021801,0.006771622024268211
36400,10458.0,3120.0,0.01713270040065589,0.006776267271690006
36450,10469.0,3123.0,0.017170116043158636,0.006816610686824735
36500,10487.0,3121.0,0.01722168286789181,0.0067684453636124
36550,10500.5,3124.5,0.01720965888382132,0.00676080046581534
36600,10509.5,3128.5,0.017263558108237775,0.00676299966631429
36650,10523.0,3124.0,0.017233642479119397,0.006733113262733788
36700,10537.5,3118.5,0.017285973626880384,0.006785479330714641
36750,10545.5,3116.5,0.01736177345156891,0.006703132463660982
36800,10550.0,3114.0,0.017381777500714242,0.006707399556994134
36850,10560.0,3112.0,0.017473555020257193,0.006643073563022045
36900,10571.0,3117.0,0.017463047526098643,0.006632566068863503
36950,10590.0,3113.0,0.017453016903997583,0.006625411030933973
37000,10605.0,3109.0,0.017493202095302127,0.006667529804698677
37050,10612.0,3109.0,0.01747926488623013,0.006654225150466593
37100,10624.5,3106.5,0.017457142729447185,0.006629494045101037
37150,10640.0,3114.0,0.017485863612568774,0.006677177605331982
37200,10650.0,3116.0,0.017463566340369996,0.006699250962219173
37250,10668.5,3105.5,0.01750673787613418,0.00666033313353804
37300,10687.5,3107.5,0.017545553478507663,0.006663835414138966
37350,10700.0,3105.0,0.01750504183024255,0.006651818665286863
37400,10709.0,3109.0,0.017521549282664355,0.00666832611770867
37450,10720.5,3116.5,0.017536660214171253,0.006684861794186224
37500,10746.5,3106.5,0.01752014059505231,0.006664837629967059
37550,10766.5,3105.5,0.01752807509198515,0.006668567278918333
37600,10791.0,3091.0,0.01756720613918193,0.006707698326115117
37650,10803.0,3089.0,0.017563948923404724,0.006706269841436605
37700,10812.0,3088.0,0.017550753071176563,0.006697857061609907
37750,10818.5,3090.5,0.017605027587431765,0.00664308378972687
37800,10832.5,3089.5,0.017605865023474176,0.006655491881894575
37850,10843.0,3090.0,0.017630145704704763,0.006613586683124953
37900,10855.0,3087.0,0.017677222539748315,0.006627487313851936
37950,10867.5,3097.5,0.017654026488919335,0.006612839732846858
38000,10874.0,3101.0,0.017646788498805282,0.006614150212556697
38050,10890.5,3097.5,0.017649838439878815,0.0066173296759002905
38100,10899.0,3100.0,0.017676299590325795,0.006644669293051307
38150,10924.0,3090.0,0.017656630708458243,0.006625173107543844
38200,10942.0,3092.0,0.01766374636918549,0.006665057902596042
38250,10948.5,3091.5,0.017689845204281338,0.006691156737691886
38300,10957.0,3091.0,0.017700636485064244,0.006703644143439865
38350,10978.0,3106.0,0.0177411765753426,0.006656664185521127
38400,10998.0,3092.0,0.01777460931733915,0.00666348914748548
38450,11009.5,3088.5,0.017757998945105068,0.0066483245755664345
38500,11020.5,3095.5,0.017752824459250124,0.006645388974665366
38550,11039.5,3090.5,0.017751809868134658,0.0066517016433989724
38600,11052.5,3088.5,0.017843148190153438,0.006650542134417604
