MESSAGES=66626, DATE=2018-03-22 11:14, STEPSIZE=100
Number of edges,Largest component size,LCS Standard Deviation, Average Clustering Coefficient, ACC standard deviation
9900,1850.0,70.94286433467461,0.004720146223763781,2.1417537500853473e-05
10000,1915.0,67.76818944026044,0.004721181461856293,2.1418108290254043e-05
10100,1974.0,74.92029097645724,0.004691461631855714,2.1418108290254043e-05
10200,2074.0,75.6657782620544,0.004833887457508697,2.1414996726100674e-05
10300,2191.0,79.1650806858643,0.004957914513712939,2.3721025430059533e-05
10400,2286.0,74.39684133080246,0.005097694501509627,2.3721025430059533e-05
10500,2313.0,72.05206450893687,0.005143587944062307,2.3721025430059533e-05
10600,2334.0,69.76193446285092,0.005143566008839154,2.3718417643830373e-05
10700,2373.0,77.5243671370723,0.005072624811209635,2.3718417643830373e-05
10800,2427.0,77.73769999169329,0.005256416912423515,2.3718417643830373e-05
10900,2453.0,80.07565173014113,0.00528390181163108,2.3718417643830373e-05
11000,2493.0,74.63042275106702,0.005386008534527683,2.371622328523207e-05
11100,2527.0,68.88933153981164,0.005378884809674429,2.3716745578719167e-05
11200,2549.0,68.69954512220308,0.005432305411479373,2.3716745578719167e-05
11300,2615.0,65.95549635921304,0.0055668420437079156,2.3866865981637065e-05
11400,2746.0,66.31325282328838,0.005648968414516116,2.4983087595505862e-05
11500,2792.0,67.19560997565243,0.005718577383082168,2.4981919022011717e-05
11600,2848.0,66.23011022182158,0.005705748510619169,2.4981919022011717e-05
11700,2893.0,67.98941094036104,0.005827943520829229,2.4981919022011717e-05
11800,2962.0,67.33988416986864,0.0058439466377897716,2.4981919022011717e-05
11900,3012.0,66.96947065649634,0.005816338942204648,2.4776650947667335e-05
12000,3038.0,67.42773909897913,0.00591020150005049,2.4534443657198035e-05
12100,3083.0,67.04438828121992,0.005949446747878399,2.455424477348437e-05
12200,3106.0,70.42959250202003,0.006266510369565449,2.455424477348437e-05
12300,3137.0,69.8323707172217,0.006437004851053263,2.455344618139355e-05
12400,3185.0,70.81304611437797,0.006436475179508615,2.429586494196971e-05
12500,3197.0,69.69189335911705,0.006906641019823199,2.426775965663013e-05
12600,3235.0,70.21894331306176,0.007000674187886117,2.48512094586247e-05
12700,3274.0,72.49501707016543,0.007161328060713011,2.48512094586247e-05
12800,3301.0,68.72472262589322,0.007206919899773819,2.4851403039953333e-05
12900,3364.0,73.2133867540833,0.007235694160945774,2.4839141188143883e-05
13000,3414.0,70.61294144843423,0.007279861255035935,2.4851481990455916e-05
13100,3438.0,68.98514332813247,0.007337194851017905,2.4703706117503675e-05
13200,3464.0,69.32971945720179,0.007423990028966767,2.4703706117503675e-05
13300,3503.0,73.25863430340888,0.007516598452059031,2.4694085669078732e-05
13400,3532.0,70.51560111069735,0.007625693209811682,2.4693242948295605e-05
13500,3624.0,67.28328172727349,0.007598114217879812,2.5054226005196343e-05
13600,3678.0,72.3846668845803,0.007609623196733637,2.439138792052811e-05
13700,3761.0,66.69175361322085,0.00774503934685315,2.439172138730332e-05
13800,3806.0,66.69878184788426,0.007886596513115397,2.466975090053665e-05
13900,3840.0,74.23898908252076,0.007939636594365427,2.43398534646332e-05
14000,3883.0,73.74211822293933,0.007981154663600654,2.436617609185876e-05
14100,3894.0,74.81209795209622,0.008104870018552117,2.418039229602684e-05
14200,3935.0,76.89999999989924,0.00833399230647147,2.5803871089475203e-05
