MESSAGES=66626, DATE=2018-04-20 05:20, STEPSIZE=random, ORDER=50, ITERATIONS=20
Number of edges,Largest component size,LCS Standard Deviation, Average Clustering Coefficient, ACC standard deviation
3300,10.05,19.941100772023596,5.684732432894512e-05,0.00016004262421112465
3350,10.2,20.573283646515936,6.0409186755570756e-05,0.00016454071188405872
3400,10.6,20.61164719278884,6.0409186755570756e-05,0.00016454071188405872
3450,10.65,20.821323204830186,5.89844417849205e-05,0.00015894203555152995
3500,10.65,20.821323204830186,5.89844417849205e-05,0.00015894203555152995
3550,10.8,21.008569680013917,5.89844417849205e-05,0.00015894203555152995
3600,11.15,21.687035297615026,5.89844417849205e-05,0.00015894203555152995
3650,11.85,23.647991458049876,6.397104918219639e-05,0.0001585773154368645
3700,11.85,23.647991458049876,6.219011796888356e-05,0.0001525151226782416
3750,11.95,23.6484143231634,6.432723542485895e-05,0.00016084435268757326
3800,12.0,23.85791273351464,6.397104918219639e-05,0.00015944856876042506
3850,12.0,23.85791273351464,6.397104918219639e-05,0.00015944856876042506
3900,12.15,24.487292622909543,6.389981193366388e-05,0.0001591697605024166
3950,12.4,24.556872765073322,6.354362569100131e-05,0.00015777749572299488
4000,12.6,25.028783430282825,7.13797230295777e-05,0.00018898526427452348
4050,12.8,25.6448825304387,7.13797230295777e-05,0.00018898526427452348
4100,12.95,26.27256173272793,7.601014418419103e-05,0.0002078625643473392
4150,13.15,26.928191547149986,8.242149655211716e-05,0.00023436005672381987
4200,15.4,36.234513933541315,8.20653103094546e-05,0.00023438219651308856
4250,15.55,36.87475423646916,8.598335897874279e-05,0.00025193958122753254
4300,15.55,36.87475423646916,8.598335897874279e-05,0.00025193958122753254
4350,17.5,45.233284205328275,9.061378013335613e-05,0.000271415749251863
4400,18.0,46.75788703523717,9.04713056362911e-05,0.0002714303701578637
4450,20.25,56.22266002245002,9.04713056362911e-05,0.0002714303701578637
4500,20.45,56.62638519277034,9.303584658346156e-05,0.0002822606773946513
4550,21.4,58.903650141565926,0.00010414885735453352,0.00030334720917845443
4600,21.45,58.890979784683495,0.00010913546475180942,0.00032431383110405673
4650,21.7,59.96757457159661,0.00010913546475180942,0.00032431383110405673
4700,22.3,62.15392183925323,0.0001084943295150168,0.0003229178347023739
4750,24.55,71.65785023289493,0.00010991907448566708,0.00032893016353660923
4800,29.1,90.90979045185398,0.00012630364164814496,0.0003701788699113735
4850,32.95,107.606911952718,0.00013129024904542087,0.00039138557975156946
4900,33.6,110.19818510302245,0.00013667189936637705,0.0004143338680725318
4950,33.9,111.2703464540306,0.0001373842718517022,0.0004173757956564847
5000,35.0,116.04697324790509,0.00013838159333115735,0.0004216360430166864
5050,36.0,119.32895708921619,0.00013838159333115735,0.0004216360430166864
5100,36.25,119.97369503353642,0.00014596327192497476,0.0004425538881763695
5150,37.3,124.53196376834343,0.0001522321497958359,0.00046931130424529295
5200,37.8,126.26226673080124,0.00015080740482518564,0.0004632242502927792
5250,38.75,130.3874514667727,0.00015073616757665313,0.00046291998355130193
5300,38.95,131.2560379563546,0.0001566164786373369,0.0004880623140158444
5350,39.5,132.55923204364154,0.00016160308603461277,0.0004904257546559478
5400,41.1,138.64194891878864,0.0001613486672898538,0.0004893447371362123
5450,41.25,139.29317104581978,0.0001596389733250735,0.0004820835950686254
5500,41.5,140.37859523445874,0.0001596389733250735,0.0004820835950686254
5550,41.85,141.24633623567019,0.00016424395260521092,0.0005017481491522112
5600,42.55,144.2852989739426,0.00016730715429210899,0.0005147882737791027
5650,45.85,158.40557913154447,0.00016729019304245838,0.00051477928285801
5700,47.0,162.96073146620324,0.00016721895579392587,0.0005144758346800297
5750,47.55,164.71322806623638,0.00017078081822055152,0.0005296582798192478
5800,48.1,167.10233391547825,0.00017078081822055152,0.0005296582798192478
5850,48.45,168.62279650154068,0.00017056710647495398,0.0005290144182320079
5900,51.2,180.5723123848172,0.00016910165450514228,0.0005227651798152276
5950,51.65,182.52815536239882,0.00017062816697369613,0.0005292748749385754
6000,51.85,183.39745772501865,0.00017058745997453468,0.0005291012365038598
6050,52.5,186.2228503701949,0.00017037374822893712,0.0005281896761520728
