EDGES=66626, DATE=2018-03-12 18:28,, STEPSIZE=100,
Number of edges,Largest component size,,Average Clustering Coefficient,
33600,10976,0,0.023267031,0
33700,11000,0,0.023484176,0
33800,11025,0,0.023601308,0
33900,11045,0,0.023700153,0
34000,11071,0,0.023742725,0
34100,11112,0,0.02372297,0
34200,11144,0,0.023838929,0
34300,11166,0,0.023918237,0
34400,11189,0,0.023922293,0
34500,11212,0,0.024039725,0
34600,11245,0,0.024039672,0
34700,11287,0,0.024011657,0
34800,11343,0,0.024054097,0
34900,11392,0,0.024014068,0
35000,11430,0,0.024062068,0
35100,11467,0,0.024117735,0
35200,11492,0,0.024235416,0
35300,11524,0,0.024337466,0
35400,11546,0,0.024417064,0
35500,11574,0,0.024533462,0
35600,11594,0,0.024658554,0
35700,11629,0,0.024769596,0
35800,11651,0,0.024744411,0
35900,11702,0,0.024799591,0
36000,11718,0,0.024850211,0
36100,11760,0,0.024829687,0
36200,11794,0,0.024952863,0
36300,11819,0,0.024998825,0
36400,11854,0,0.025075463,0
36500,11879,0,0.025077111,0
36600,11901,0,0.025028203,0
36700,11924,0,0.024996902,0
36800,11978,0,0.025102006,0
36900,11994,0,0.025160737,0
37000,12013,0,0.025495841,0
37100,12045,0,0.025467014,0
37200,12070,0,0.025473916,0
37300,12108,0,0.025511496,0
37400,12140,0,0.025567223,0
37500,12157,0,0.025714597,0
37600,12184,0,0.025716672,0
37700,12217,0,0.025917513,0
37800,12243,0,0.025887437,0
37900,12262,0,0.025910744,0
38000,12290,0,0.025967998,0
38100,12314,0,0.026126702,0
38200,12352,0,0.02615803,0
38300,12385,0,0.026487117,0
38400,12436,0,0.026537436,0
38500,12479,0,0.026579918,0
38600,12504,0,0.026552826,0
38700,12553,0,0.026563069,0
38800,12584,0,0.026574927,0
38900,12621,0,0.026525872,0
39000,12664,0,0.026649403,0
39100,12692,0,0.026907593,0
39200,12714,0,0.027098348,0
39300,12730,0,0.027183334,0
39400,12746,0,0.02721281,0
39500,12762,0,0.027333187,0
39600,12791,0,0.027309315,0
39700,12826,0,0.027349915,0
39800,12842,0,0.027313753,0
39900,12870,0,0.027331093,0
40000,12894,0,0.027360225,0
40100,12929,0,0.027360338,0
40200,12964,0,0.027531681,0
40300,12998,0,0.02749899,0
40400,13044,0,0.027502212,0
40500,13061,0,0.02762909,0
40600,13098,0,0.027706974,0
40700,13114,0,0.02760306,0
40800,13147,0,0.027643805,0
40900,13160,0,0.027567183,0
41000,13172,0,0.027535603,0
41100,13202,0,0.027509242,0
41200,13228,0,0.02752564,0
