EDGES=66626.0, ITERATIONS=20,DATE=2018-04-17,,
Messages,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
9000,5939.2,163.8953325,1.51E-05,5.48E-05
9050,5993.55,165.4269627,1.51E-05,5.48E-05
9100,6048.8,167.5952267,1.51E-05,5.48E-05
9150,6105.3,173.9942528,1.51E-05,5.48E-05
9200,6153.5,178.2975042,1.51E-05,5.48E-05
9250,6203.05,186.0795529,1.51E-05,5.48E-05
9300,6255.35,179.1017588,1.51E-05,5.48E-05
9350,6312.5,162.1438867,1.51E-05,5.48E-05
9400,6367.05,159.7094863,1.51E-05,5.48E-05
9450,6414,156.4713392,1.51E-05,5.48E-05
9500,6462.45,155.0481216,1.51E-05,5.48E-05
9550,6513.25,146.4325101,1.56E-05,5.64E-05
9600,6563,139.1910917,1.64E-05,5.62E-05
9650,6613.95,140.6462228,1.64E-05,5.62E-05
9700,6665,146.4887709,1.64E-05,5.62E-05
9750,6712.9,148.9467019,1.64E-05,5.62E-05
9800,6759.3,146.745494,1.64E-05,5.62E-05
9850,6803.55,144.4570524,1.64E-05,5.62E-05
9900,6847.1,135.6816863,1.64E-05,5.62E-05
9950,6894.75,143.2332364,1.64E-05,5.62E-05
10000,6938.9,143.8379644,1.64E-05,5.62E-05
10050,6981.9,139.8195981,1.64E-05,5.62E-05
10100,7027.95,145.5947801,1.64E-05,5.62E-05
10150,7079.75,142.1044686,1.64E-05,5.62E-05
10200,7124.3,135.2748314,1.64E-05,5.62E-05
10250,7173.85,141.9969014,1.64E-05,5.62E-05
10300,7220.05,142.297435,1.64E-05,5.62E-05
10350,7266.05,149.4930099,1.64E-05,5.62E-05
10400,7313.05,150.4039893,1.64E-05,5.62E-05
10450,7358.65,142.7971989,1.64E-05,5.62E-05
10500,7403.3,141.9597126,1.64E-05,5.62E-05
10550,7447.35,135.0845661,1.63E-05,5.56E-05
10600,7494.85,136.1193594,1.63E-05,5.56E-05
10650,7541.1,133.9080281,1.63E-05,5.55E-05
10700,7586.4,142.6206156,1.63E-05,5.55E-05
10750,7634.7,141.4083449,1.63E-05,5.55E-05
10800,7684.05,147.965131,1.63E-05,5.55E-05
10850,7730.1,144.4905533,1.63E-05,5.55E-05
10900,7776.8,140.3988604,1.63E-05,5.55E-05
10950,7824.1,135.28725,1.63E-05,5.55E-05
11000,7870.5,135.6819811,1.63E-05,5.55E-05
11050,7913.25,129.4094278,1.63E-05,5.55E-05
11100,7957.25,129.5626489,1.59E-05,5.55E-05
11150,8005,121.8221655,1.59E-05,5.55E-05
11200,8051.25,125.0945243,1.59E-05,5.55E-05
11250,8098.85,119.0445295,1.62E-05,5.59E-05
11300,8138.4,122.2636495,1.62E-05,5.59E-05
11350,8177.4,125.5980892,1.62E-05,5.59E-05
11400,8219.5,125.2836781,1.62E-05,5.59E-05
11450,8263.1,125.4601132,1.47E-05,5.32E-05
11500,8303.4,126.0634761,1.50E-05,5.28E-05
11550,8352.4,122.2116197,1.50E-05,5.28E-05
