EDGES=66626.0, ITERATIONS=20,DATE=2018-03-13 03:08
Number of edges,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
7600,4520.9,74.97059423536388,6.567073873073893e-06,1.4858015529707583e-05
7700,4625.4,79.86638842469542,6.567073873073893e-06,1.4858015529707583e-05
7800,4733.8,85.54975160687442,6.567073873073893e-06,1.4858015529707583e-05
7900,4837.65,86.32686430077442,6.550112623423295e-06,1.4855628375407939e-05
8000,4945.0,85.64928487734585,6.550112623423295e-06,1.4855628375407939e-05
8100,5033.15,78.86398100529529,6.550112623423295e-06,1.4855628375407939e-05
8200,5134.1,72.6263726203927,6.550112623423295e-06,1.4855628375407939e-05
8300,5221.4,76.77200010421339,6.550112623423295e-06,1.4855628375407939e-05
8400,5328.75,71.07803809896915,6.550112623423295e-06,1.4855628375407939e-05
8500,5421.15,72.78342874584905,6.550112623423295e-06,1.4855628375407939e-05
8600,5517.1,72.01590102189502,6.550112623423295e-06,1.4855628375407939e-05
8700,5618.7,72.9569050878729,6.538239748667876e-06,1.4854176087089736e-05
8800,5722.55,82.57328563161423,7.336960414032412e-06,1.4910507440924263e-05
8900,5820.25,80.93878859977156,7.328325596028471e-06,1.4910030533217484e-05
9000,5921.1,81.36147737103607,7.319690778024531e-06,1.4897264342813089e-05
9100,6024.0,77.39121397160345,7.319690778024531e-06,1.4897264342813089e-05
9200,6122.5,79.00031645504352,7.319690778024531e-06,1.4897264342813089e-05
9300,6228.55,77.17932041681175,9.860485975684149e-06,2.1357398272066655e-05
9400,6330.45,78.06822336905647,9.860485975684149e-06,2.1357398272066655e-05
9500,6421.9,78.42123436932147,9.860485975684149e-06,2.1357398272066655e-05
9600,6519.05,73.05030800753974,9.860485975684149e-06,2.1357398272066655e-05
9700,6618.6,74.63939978316851,9.895993983104859e-06,2.1417537500853473e-05
9800,6711.9,70.94286433467461,9.895993983104859e-06,2.1417537500853473e-05
9900,6800.65,67.76818944026044,9.889517869601902e-06,2.1418108290254043e-05
10000,6894.5,74.92029097645724,9.889517869601902e-06,2.1418108290254043e-05
10100,6988.7,75.6657782620544,9.882441030638267e-06,2.1414996726100674e-05
10200,7082.7,79.1650806858643,1.0971353258206674e-05,2.3721025430059533e-05
10300,7182.9,74.39684133080246,1.0971353258206674e-05,2.3721025430059533e-05
10400,7280.0,72.05206450893687,1.0971353258206674e-05,2.3721025430059533e-05
10500,7373.35,69.76193446285092,1.096960724721323e-05,2.3718417643830373e-05
10600,7467.65,77.5243671370723,1.096960724721323e-05,2.3718417643830373e-05
10700,7559.5,77.73769999169329,1.096960724721323e-05,2.3718417643830373e-05
10800,7649.7,80.07565173014113,1.096960724721323e-05,2.3718417643830373e-05
10900,7746.0,74.63042275106702,1.096813692216612e-05,2.371622328523207e-05
11000,7835.4,68.88933153981164,1.0964222787631365e-05,2.3716745578719167e-05
11100,7930.35,68.69954512220308,1.0964222787631365e-05,2.3716745578719167e-05
11200,8017.35,65.95549635921304,1.1768634995325178e-05,2.3866865981637065e-05
11300,8105.95,66.31325282328838,1.4497633023593986e-05,2.4983087595505862e-05
11400,8190.5,67.19560997565243,1.4494501715966185e-05,2.4981919022011717e-05
11500,8283.85,66.23011022182158,1.4494501715966185e-05,2.4981919022011717e-05
11600,8380.8,67.98941094036104,1.4494501715966185e-05,2.4981919022011717e-05
11700,8471.8,67.33988416986864,1.4494501715966185e-05,2.4981919022011717e-05
11800,8563.3,66.96947065649634,1.5468077445910526e-05,2.4776650947667335e-05
11900,8650.0,67.42773909897913,1.609733980794772e-05,2.4534443657198035e-05
12000,8736.5,67.04438828121992,1.605663280878628e-05,2.455424477348437e-05
12100,8820.15,70.42959250202003,1.605663280878628e-05,2.455424477348437e-05
12200,8906.2,69.8323707172217,1.605408862133869e-05,2.455344618139355e-05
12300,8987.75,70.81304611437797,1.657979665863745e-05,2.429586494196971e-05
12400,9074.2,69.69189335911705,1.5943749796740016e-05,2.426775965663013e-05
12500,9163.0,70.21894331306176,1.8756936712472577e-05,2.48512094586247e-05
12600,9242.85,72.49501707016543,1.8756936712472577e-05,2.48512094586247e-05
12700,9324.75,68.72472262589322,1.8756546798687503e-05,2.4851403039953333e-05
12800,9402.0,73.2133867540833,1.8751565172916e-05,2.4839141188143883e-05
12900,9485.25,70.61294144843423,1.88972777267325e-05,2.4851481990455916e-05
13000,9564.5,68.98514332813247,1.9114830696515617e-05,2.4703706117503675e-05
